threshold,accepted_samples,human_review_samples,coverage,accepted_accuracy,accepted_macro_f1
0.5,3283,717,0.82075,0.9923850137069753,0.9920958816005857
0.55,3041,959,0.76025,0.9937520552449852,0.9935077753284044
0.6,2722,1278,0.6805,0.9948567229977957,0.9945712768108945
0.65,2385,1615,0.59625,0.9949685534591195,0.994418392601207
0.7,2067,1933,0.51675,0.9956458635703919,0.994332757786468
0.75,1701,2299,0.42525,0.9958847736625515,0.993813175322412
0.8,1293,2707,0.32325,0.9992266047950503,0.9986550005663155
0.85,849,3151,0.21225,1.0,1.0
0.9,393,3607,0.09825,1.0,1.0
0.95,81,3919,0.02025,1.0,1.0
0.98,7,3993,0.00175,1.0,1.0
