confidence_threshold,auto_classified,human_review,coverage,auto_accuracy,auto_macro_f1
0.4,1014,66,0.9388888888888889,0.8856015779092702,0.8855464360215778
0.5,892,188,0.825925925925926,0.9596412556053812,0.9596809994926433
0.55,864,216,0.8,0.9768518518518519,0.9769579494213393
0.6,845,235,0.7824074074074074,0.9881656804733728,0.9882291359608759
0.65,837,243,0.775,0.994026284348865,0.9940497620365272
0.7,831,249,0.7694444444444445,0.9975932611311673,0.9975793183648277
0.75,821,259,0.7601851851851852,0.9987819732034104,0.9987443469007715
0.8,776,304,0.7185185185185186,1.0,1.0
0.85,684,396,0.6333333333333333,1.0,1.0
0.9,491,589,0.4546296296296296,1.0,1.0
