threshold,auto_classified,human_review,coverage,auto_accuracy,auto_macro_f1
0.5,1800,0,1.0,0.8916666666666667,0.8874852504703341
0.55,1656,144,0.92,0.9251207729468599,0.9221019248423784
0.6,1535,265,0.8527777777777777,0.9596091205211726,0.9578568594526041
0.65,1449,351,0.805,0.9799861973775017,0.9790773437721725
0.7,1395,405,0.775,0.9949820788530466,0.994758681989672
0.75,1370,430,0.7611111111111111,0.9978102189781022,0.9977111671098612
0.8,1317,483,0.7316666666666667,1.0,1.0
0.85,1208,592,0.6711111111111111,1.0,1.0
0.9,934,866,0.5188888888888888,1.0,1.0
0.95,237,1563,0.13166666666666665,1.0,1.0
